restaurant_id,avg_sentiment,sentiment_std,min_sentiment,max_sentiment,negative_review_pct,operational_issue_rate,delivery_delay_count,food_quality_count,packaging_count,service_count,hygiene_count,wrong_order_count,avg_aspect_count,sentiment_rating_agreement_pct
1,0.85265,0.1550685171142099,0.743,0.9623,0.0,0.0,0,0,0,0,0,0,1.5,100.0
2,0.8730500000000001,0.01067731239591683,0.8655,0.8806,0.0,0.0,0,0,0,0,0,0,2.5,50.0
3,0.1371,1.0415682886877846,-0.5994,0.8736,50.0,0.0,0,0,0,0,0,0,0.5,0.0
4,0.5023500000000001,0.4939140866588035,0.1531,0.8516,0.0,0.5,1,1,0,0,0,0,1.0,50.0
5,0.85255,0.17840304089336592,0.7264,0.9787,0.0,0.0,0,0,0,0,0,0,0.5,100.0
6,0.7269,,0.7269,0.7269,0.0,1.0,1,0,0,0,0,0,1.0,0.0
7,0.9272499999999999,0.019304015126392703,0.9136,0.9409,0.0,0.0,0,0,0,0,0,0,1.0,100.0
8,0.92275,0.02128391411371509,0.9077,0.9378,0.0,0.0,0,0,0,0,0,0,1.0,100.0
9,0.9011,0.09517657274770934,0.8338,0.9684,0.0,0.5,1,0,0,0,0,0,3.0,50.0
10,0.8646499999999999,0.053810826048296186,0.8266,0.9027,0.0,0.0,0,0,0,0,0,0,1.5,100.0
11,0.5555,0.304763022691402,0.34,0.771,0.0,0.0,0,0,0,0,0,0,0.0,100.0
12,0.13545000000000001,1.18687873222162,-0.7038,0.9747,50.0,0.5,1,1,0,0,0,0,1.0,100.0
13,0.9687,0.01668772003600257,0.9569,0.9805,0.0,1.0,1,1,0,0,0,0,1.0,100.0
14,0.11629999999999996,1.225981737221236,-0.7506,0.9832,50.0,0.5,1,1,0,0,0,0,1.5,100.0
15,0.1371,1.0415682886877846,-0.5994,0.8736,50.0,0.0,0,0,0,0,0,0,0.5,0.0
16,0.12259999999999999,1.2322042768956778,-0.7487,0.9939,50.0,1.0,1,0,0,0,1,0,2.0,100.0
17,0.9398,,0.9398,0.9398,0.0,1.0,0,0,0,0,1,0,2.0,0.0
18,0.774,0.2562554975020049,0.5928,0.9552,0.0,0.0,0,0,0,0,0,0,1.5,0.0
19,0.23435,1.0597409329642788,-0.515,0.9837,50.0,0.5,1,0,0,0,0,0,3.0,100.0
20,0.70175,0.34358318497854345,0.4588,0.9447,0.0,0.5,1,0,0,0,0,0,2.0,100.0
21,-0.1483,1.0525991544742945,-0.8926,0.596,50.0,0.0,0,0,0,0,0,0,2.5,50.0
22,-0.4027,,-0.4027,-0.4027,100.0,0.0,0,0,0,0,0,0,1.0,0.0
23,-0.05500000000000001,0.20831365773755692,-0.2023,0.0923,50.0,1.0,1,1,0,0,0,0,1.0,100.0
24,0.9723,,0.9723,0.9723,0.0,0.0,0,0,0,0,0,0,1.0,100.0
25,0.7982,0.1712612624033818,0.6771,0.9193,0.0,0.0,0,0,0,0,0,0,1.5,100.0
26,0.47669999999999996,0.6194255403194157,0.0387,0.9147,0.0,0.5,1,0,0,0,0,0,0.5,50.0
27,-0.049600000000000005,0.5201477482408243,-0.4174,0.3182,50.0,0.5,0,0,1,0,0,0,1.0,50.0
28,0.872,,0.872,0.872,0.0,1.0,1,0,0,0,0,0,1.0,100.0
29,0.01645000000000002,0.7681300964029465,-0.5267,0.5596,50.0,0.5,0,1,0,0,0,0,1.5,50.0
30,0.7461,,0.7461,0.7461,0.0,0.0,0,0,0,0,0,0,1.0,100.0
31,0.9698,0.0035355339059327017,0.9673,0.9723,0.0,0.5,1,0,0,0,0,0,1.5,100.0
32,-0.8023,0.08032733034279174,-0.8591,-0.7455,100.0,0.5,0,0,0,0,1,0,2.5,100.0
33,0.8217,,0.8217,0.8217,0.0,0.0,0,0,0,0,0,0,1.0,100.0
34,0.9533,0.01555634918610406,0.9423,0.9643,0.0,0.0,0,0,0,0,0,0,0.5,100.0
35,0.24014999999999997,0.8597711352447232,-0.3678,0.8481,50.0,0.5,1,0,0,0,0,0,2.0,50.0
36,0.9168499999999999,0.047588286373854705,0.8832,0.9505,0.0,0.5,0,0,1,0,0,0,2.0,50.0
37,0.3715,0.5253803384216048,0.0,0.743,0.0,0.5,1,0,0,0,0,0,0.0,0.0
38,0.8613999999999999,0.07382194795587556,0.8092,0.9136,0.0,0.0,0,0,0,0,0,0,2.0,100.0
39,0.42545,0.6016771601116333,0.0,0.8509,0.0,0.5,1,0,0,0,0,0,0.5,50.0
40,0.7639,,0.7639,0.7639,0.0,0.0,0,0,0,0,0,0,1.0,100.0
41,0.87695,0.09100464273870869,0.8126,0.9413,0.0,0.0,0,0,0,0,0,0,2.0,100.0
