name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),rate_numeric,cost_numeric,votes_numeric,review_count,avg_review_rating,online_order_binary,book_table_binary,primary_cuisine,cuisine_count,restaurant_id,last_review_date,days_since_last_review,avg_sentiment,sentiment_std,min_sentiment,max_sentiment,negative_review_pct,operational_issue_rate,delivery_delay_count,food_quality_count,packaging_count,service_count,hygiene_count,wrong_order_count,avg_aspect_count,sentiment_rating_agreement_pct,churn_risk_score,churn_label,rating_volatility,cost_efficiency,review_engagement,location_competition,cuisine_diversity,service_score,sentiment_rating_gap,issue_density,price_category,rating_category,churn_probability,risk_category
Jalsa,Yes,Yes,4.1/5,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,Buffet,Banashankari,4.1,800.0,775,12,4.083333333333333,1,1,North Indian,3,1,2026-03-29 22:58:09.340252,49,0.85265,0.1550685171142099,0.743,0.9623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,100.0,0,0,0.1550685171142099,0.4555555555555555,0.015463917525773196,906.0,3,2,0.16325000000000056,0.0,Premium,Excellent,0.15921237962736814,Low
Spice Elephant,Yes,No,4.1/5,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,Buffet,Banashankari,4.1,800.0,787,14,3.5714285714285716,1,0,Chinese,3,2,2026-03-24 22:58:09.340298,54,0.8730500000000001,0.0106773123959168,0.8655,0.8806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,50.0,0,1,0.0106773123959168,0.4555555555555555,0.017766497461928935,906.0,3,1,0.2652500000000009,0.0,Premium,Excellent,0.1921475657958153,Low
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Buffet,Banashankari,3.8,800.0,918,20,3.15,1,0,Cafe,3,3,2026-03-14 22:58:09.340303,64,0.1371,1.0415682886877846,-0.5994,0.8736,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1.0415682886877846,0.4222222222222222,0.02176278563656148,906.0,3,1,3.1144999999999996,0.0,Premium,Good,0.16715922201343755,Low
Addhuri Udupi Bhojana,No,No,3.7/5,88,Banashankari,Quick Bites,"South Indian, North Indian",300,Buffet,Banashankari,3.7,300.0,88,35,3.6714285714285713,0,0,South Indian,2,4,2026-05-07 22:58:09.340305,10,0.5023500000000001,0.4939140866588035,0.1531,0.8516,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,1,0,0.4939140866588035,0.925,0.39325842696629215,906.0,2,0,1.18825,0.05555555555555555,Budget,Good,0.1711231870857676,Low
Grand Village,No,No,3.8/5,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,Buffet,Banashankari,3.8,600.0,166,2,4.0,0,0,North Indian,2,5,2026-04-01 22:58:09.340307,46,0.85255,0.1784030408933659,0.7264,0.9787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.0,0,0,0.1784030408933659,0.5428571428571428,0.011976047904191617,684.0,2,0,0.46275000000000066,0.0,Mid-range,Good,0.1530513925428439,Low
Timepass Dinner,Yes,No,3.8/5,286,Basavanagudi,Casual Dining,North Indian,600,Buffet,Banashankari,3.8,600.0,286,1,3.0,1,0,North Indian,1,6,2026-05-09 22:58:09.340309,8,0.7269,0.0,0.7269,0.7269,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.5428571428571428,0.003484320557491289,684.0,1,1,0.16549999999999976,0.5,Mid-range,Good,0.13014756247378864,Low
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Buffet,Banashankari,3.6,800.0,8,2,5.0,0,0,North Indian,4,7,2026-04-02 22:58:09.340310,45,0.92725,0.0193040151263927,0.9136,0.9409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0.0193040151263927,0.4,0.2222222222222222,22.0,4,0,1.0362500000000003,0.0,Premium,Good,0.13873140279264456,Low
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Cafes,Banashankari,4.6,600.0,2556,45,4.355555555555555,1,1,Pizza,3,8,2026-04-13 22:58:09.340312,34,0.92275,0.021283914113715,0.9077,0.9378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0,1,0.021283914113715,0.6571428571428571,0.01759874853343762,906.0,3,2,0.013749999999999929,0.0,Mid-range,Excellent,0.12621432693655968,Low
Penthouse Cafe,Yes,No,4.0/5,324,Banashankari,Cafe,"Cafe, Italian, Continental",700,Cafes,Banashankari,4.0,700.0,324,79,3.3037974683544302,1,0,Cafe,3,9,2026-03-20 22:58:09.340313,58,0.9011,0.0951765727477093,0.8338,0.9684,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,1,0,0.0951765727477093,0.5,0.24307692307692308,906.0,3,1,0.5054999999999996,0.0125,Premium,Good,0.15638267835548997,Low
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,Banashankari,4.2,550.0,504,8,4.125,1,0,Cafe,5,10,2026-04-03 22:58:09.340314,44,0.8646499999999999,0.0538108260482961,0.8266,0.9027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,100.0,0,0,0.0538108260482961,0.6461538461538462,0.015841584158415842,906.0,5,1,0.12324999999999964,0.0,Mid-range,Excellent,0.15451959604486212,Low
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,402,Banashankari,Cafe,Cafe,500,Cafes,Banashankari,4.1,500.0,402,7,3.857142857142857,1,0,Cafe,1,11,2026-03-12 22:58:09.340316,66,0.5555,0.304763022691402,0.34,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0.304763022691402,0.6833333333333332,0.017369727047146403,906.0,1,1,1.3224999999999998,0.0,Mid-range,Excellent,0.15293385884155,Low
Cafe Shuffle,Yes,Yes,4.2/5,150,Banashankari,Cafe,"Cafe, Italian, Continental",600,Cafes,Banashankari,4.2,600.0,150,10,4.0,1,1,Cafe,3,12,2026-04-19 22:58:09.340317,28,0.13545,1.18687873222162,-0.7038,0.9747,50.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1,1,1.18687873222162,0.6,0.06622516556291391,906.0,3,2,3.5227500000000003,0.18181818181818182,Mid-range,Excellent,0.2236280067016643,Low
The Coffee Shack,Yes,Yes,4.2/5,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,Cafes,Banashankari,4.2,500.0,164,13,3.8461538461538463,1,1,Cafe,4,13,2026-05-10 22:58:09.340319,7,0.9687,0.0166877200360025,0.9569,0.9805,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1,0,0.0166877200360025,0.7000000000000001,0.07878787878787878,906.0,4,2,0.6434999999999995,0.14285714285714285,Mid-range,Excellent,0.13632897183396572,Low
Caf-Eleven,No,No,4.0/5,424,Banashankari,Cafe,"Cafe, Continental",450,Cafes,Banashankari,4.0,450.0,424,12,3.2083333333333335,0,0,Cafe,2,14,2026-04-11 22:58:09.340320,36,0.1162999999999999,1.225981737221236,-0.7506,0.9832,50.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.5,100.0,1,0,1.225981737221236,0.7272727272727273,0.02823529411764706,906.0,2,0,3.4185000000000008,0.15384615384615385,Mid-range,Good,0.14691728387607583,Low
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Cafes,Banashankari,3.8,800.0,918,25,3.24,1,0,Cafe,3,15,2026-03-08 22:58:09.340321,70,0.1371,1.0415682886877846,-0.5994,0.8736,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,1.0415682886877846,0.4222222222222222,0.02720348204570185,906.0,3,1,3.1144999999999996,0.0,Premium,Good,0.12677065187355635,Low
Cafe Vivacity,Yes,No,3.8/5,90,Banashankari,Cafe,Cafe,650,Cafes,Banashankari,3.8,650.0,90,3,3.6666666666666665,1,0,Cafe,1,16,2026-04-01 22:58:09.340322,46,0.1225999999999999,1.2322042768956778,-0.7487,0.9939,50.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,1,0,1.2322042768956778,0.5066666666666666,0.03296703296703297,906.0,1,1,3.1870000000000003,0.25,Premium,Good,0.15867262505497898,Low
Catch-up-ino,Yes,No,3.9/5,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari,3.9,800.0,133,1,1.0,1,0,Cafe,5,17,2026-04-12 22:58:09.340324,35,0.9398,0.0,0.9398,0.9398,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1,0,0.0,0.43333333333333335,0.007462686567164179,906.0,5,1,0.7989999999999999,0.0,Premium,Good,0.14473771420421633,Low
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Cafes,Banashankari,3.8,700.0,144,2,3.0,1,0,Chinese,3,18,2026-05-03 22:58:09.340325,14,0.774,0.2562554975020049,0.5928,0.9552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0,0,0.2562554975020049,0.475,0.013793103448275862,906.0,3,1,0.07000000000000028,0.0,Premium,Good,0.13908565961418548,Low
T3H Cafe,No,No,3.9/5,93,Banashankari,Cafe,"Cafe, Italian, American",300,Cafes,Banashankari,3.9,300.0,93,2,2.5,0,0,Cafe,3,19,2026-03-20 22:58:09.340326,58,0.23435,1.0597409329642788,-0.515,0.9837,50.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,1,0,1.0597409329642788,0.975,0.02127659574468085,906.0,3,0,2.72825,0.3333333333333333,Budget,Good,0.13587625640767545,Low
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari,3.1,400.0,13,4,4.5,1,0,Cafe,4,20,2026-03-15 22:58:09.340327,63,0.70175,0.3435831849785434,0.4588,0.9447,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1,0,0.3435831849785434,0.62,0.2857142857142857,906.0,4,1,0.40874999999999995,0.2,Mid-range,Average,0.1467978060150575,Low
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Cafes,Banashankari,3.0,400.0,62,4,2.0,1,0,Cafe,3,21,2026-03-27 22:58:09.340329,51,-0.1483,1.0525991544742943,-0.8926,0.596,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,50.0,2,1,1.0525991544742943,0.6,0.06349206349206349,906.0,3,1,3.7415,0.0,Mid-range,Average,0.9030130083874244,Critical
Woodee Pizza,Yes,No,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari,3.7,500.0,180,1,3.0,1,0,Cafe,4,22,2026-03-08 22:58:09.340330,70,-0.4027,0.0,-0.4027,-0.4027,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.6166666666666667,0.0055248618784530384,906.0,4,1,5.7135,0.0,Mid-range,Good,0.17668087675369062,Low
Cafe Coffee Day,No,No,3.6/5,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari,3.6,900.0,28,9,3.3333333333333335,0,0,Cafe,2,23,2026-03-06 22:58:09.340331,72,-0.055,0.2083136577375569,-0.2023,0.0923,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1,0,0.2083136577375569,0.36,0.3103448275862069,906.0,2,0,3.875,0.2,Premium,Good,0.18736939230324218,Low
My Tea House,Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari,3.6,600.0,62,1,4.0,1,0,Italian,4,24,2026-03-14 22:58:09.340333,64,0.9723,0.0,0.9723,0.9723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0.0,0.5142857142857143,0.015873015873015872,906.0,4,1,1.2615000000000003,0.0,Mid-range,Good,0.08626097444703483,Low
Hide Out Cafe,No,No,3.7/5,31,Banashankari,Cafe,Cafe,300,Cafes,Banashankari,3.7,300.0,31,13,3.576923076923077,0,0,Cafe,1,25,2026-03-20 22:58:09.340334,58,0.7982,0.1712612624033818,0.6771,0.9193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,100.0,0,0,0.1712612624033818,0.925,0.40625,906.0,1,0,0.2909999999999999,0.0,Budget,Good,0.13498238257936457,Low
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes,Banashankari,3.2,600.0,11,6,3.6666666666666665,0,0,Cafe,2,26,2026-04-03 22:58:09.340335,44,0.4766999999999999,0.6194255403194157,0.0387,0.9147,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,1,0,0.6194255403194157,0.4571428571428572,0.5,906.0,2,0,0.8165000000000004,0.14285714285714285,Mid-range,Average,0.1747764489668564,Low
Coffee Tindi,Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Banashankari,3.8,200.0,75,211,3.5781990521327014,1,0,Cafe,2,27,2026-04-11 22:58:09.340336,36,-0.0496,0.5201477482408243,-0.4174,0.3182,50.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,1,0,0.5201477482408243,1.2666666666666666,2.776315789473684,906.0,2,1,4.048,0.0047169811320754715,Budget,Good,0.13789969413411696,Low
Sea Green Cafe,No,No,3.3/5,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari,3.3,500.0,4,1,5.0,0,0,Cafe,3,28,2026-03-07 22:58:09.340338,71,0.872,0.0,0.872,0.872,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1,0,0.0,0.5499999999999999,0.2,906.0,3,0,1.0600000000000005,0.5,Mid-range,Average,0.18596791856821593,Low
Cuppa,No,No,3.3/5,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari,3.3,550.0,23,6,3.1666666666666665,0,0,Cafe,2,29,2026-05-06 22:58:09.340339,11,0.01645,0.7681300964029465,-0.5267,0.5596,50.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.5,50.0,1,0,0.7681300964029465,0.5076923076923077,0.25,906.0,2,0,3.2177499999999997,0.14285714285714285,Mid-range,Average,0.16540859143055486,Low
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari,3.8,550.0,148,1,5.0,0,0,North Indian,4,30,2026-04-09 22:58:09.340340,38,0.7461,0.0,0.7461,0.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0.0,0.5846153846153845,0.006711409395973154,684.0,4,0,0.06949999999999967,0.0,Mid-range,Good,0.13702016439092335,Low
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,Banashankari,4.0,600.0,219,4,4.5,1,0,Cafe,2,31,2026-04-07 22:58:09.340341,40,0.9698,0.0035355339059327,0.9673,0.9723,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,100.0,1,0,0.0035355339059327,0.5714285714285714,0.01818181818181818,684.0,2,1,0.8490000000000002,0.2,Mid-range,Good,0.13715497749075425,Low
Foodiction,Yes,No,2.8/5,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari,2.8,500.0,506,575,2.526086956521739,1,0,North Indian,4,32,2026-04-24 22:58:09.340343,23,-0.8023,0.0803273303427917,-0.8591,-0.7455,100.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5,100.0,3,1,0.0803273303427917,0.4666666666666666,1.1341222879684418,906.0,4,1,6.8115,0.0,Mid-range,Average,0.9079488479621681,Critical
